genero,grupo_etnico,nivel_educacao_pais,tipo_de_bolsa,fez_curso_preparatorio,pontuacao_matematica,pontuacao_leitura,pontuacao_escrita
homem,grupo_C,ensino_superior_incompleto,padrao,N,55,57,53
mulher,grupo_B,ensino_superior_completo,padrao,S,48,57,60
homem,grupo_D,ensino_superior_incompleto,padrao,N,97,85,89
mulher,grupo_B,ensino_superior_incompleto,padrao,N,61,72,73
homem,grupo_C,ensino_superior_continuado,padrao,N,73,57,56
homem,grupo_C,ensino_superior_mestrado,padrao,N,75,68,64
mulher,grupo_B,ensino_medio,gratuita,N,60,75,73
homem,grupo_E,ensino_superior_completo,gratuita,N,47,41,42
homem,grupo_D,ensino_medio,padrao,N,65,62,56
mulher,grupo_B,ensino_superior_continuado,gratuita,N,40,46,47
homem,grupo_C,ensino_superior_incompleto,gratuita,N,68,74,70
homem,grupo_D,ensino_fundamental,padrao,S,71,63,69
mulher,grupo_C,ensino_superior_completo,padrao,N,59,72,63
homem,grupo_E,ensino_medio,gratuita,N,67,60,53
mulher,grupo_A,ensino_fundamental,gratuita,S,44,58,58
homem,grupo_C,ensino_superior_completo,padrao,N,76,74,73
mulher,grupo_C,ensino_superior_continuado,padrao,N,68,79,80
homem,grupo_C,ensino_superior_completo,padrao,N,67,62,60
homem,grupo_D,ensino_superior_incompleto,padrao,S,59,61,58
homem,grupo_C,ensino_superior_completo,gratuita,N,74,72,70
mulher,grupo_B,ensino_medio,gratuita,S,34,54,50
mulher,grupo_E,ensino_medio,gratuita,S,71,76,79
mulher,grupo_C,ensino_fundamental,gratuita,S,39,61,52
homem,grupo_C,ensino_fundamental,padrao,N,30,46,35
homem,grupo_B,ensino_superior_completo,padrao,N,37,49,41
mulher,grupo_D,ensino_fundamental,padrao,N,64,78,74
homem,grupo_C,ensino_superior_completo,gratuita,N,71,75,71
mulher,grupo_C,ensino_superior_incompleto,padrao,N,80,82,78
homem,grupo_B,ensino_superior_incompleto,padrao,N,70,63,58
homem,grupo_C,ensino_superior_continuado,gratuita,N,86,76,77
homem,grupo_A,ensino_medio,padrao,S,78,71,71
mulher,grupo_C,ensino_medio,padrao,S,72,89,84
mulher,grupo_C,ensino_superior_continuado,padrao,N,81,91,91
homem,grupo_E,ensino_superior_completo,gratuita,S,84,78,76
mulher,grupo_B,ensino_medio,gratuita,N,51,54,56
mulher,grupo_D,ensino_medio,padrao,S,78,81,89
homem,grupo_E,ensino_fundamental,gratuita,N,60,57,56
mulher,grupo_C,ensino_superior_continuado,padrao,N,82,96,95
homem,grupo_C,ensino_superior_continuado,gratuita,N,53,54,49
mulher,grupo_B,ensino_superior_incompleto,gratuita,N,24,37,40
homem,grupo_D,ensino_superior_completo,padrao,N,71,66,66
mulher,grupo_C,ensino_superior_incompleto,padrao,N,46,58,55
mulher,grupo_B,ensino_superior_mestrado,padrao,N,70,87,81
homem,grupo_B,ensino_fundamental,padrao,S,84,97,88
mulher,grupo_B,ensino_superior_incompleto,gratuita,N,53,58,58
mulher,grupo_C,ensino_superior_continuado,gratuita,N,46,53,56
mulher,grupo_B,ensino_superior_continuado,padrao,S,66,81,76
homem,grupo_A,ensino_superior_completo,padrao,S,75,71,73
homem,grupo_E,ensino_fundamental,padrao,N,65,55,52
homem,grupo_B,ensino_medio,padrao,N,82,80,68
homem,grupo_B,ensino_superior_continuado,gratuita,S,66,72,77
homem,grupo_C,ensino_superior_continuado,gratuita,N,63,69,62
homem,grupo_C,ensino_superior_incompleto,padrao,S,72,64,68
mulher,grupo_D,ensino_superior_continuado,gratuita,N,48,64,62
mulher,grupo_C,ensino_fundamental,gratuita,N,43,49,47
mulher,grupo_A,ensino_superior_incompleto,gratuita,S,45,60,56
homem,grupo_A,ensino_superior_incompleto,padrao,S,61,55,52
homem,grupo_E,ensino_fundamental,padrao,S,68,45,56
homem,grupo_D,ensino_superior_incompleto,padrao,N,67,66,67
mulher,grupo_C,ensino_fundamental,padrao,N,77,86,80
homem,grupo_B,ensino_superior_incompleto,gratuita,S,66,68,68
homem,grupo_C,ensino_superior_incompleto,padrao,S,76,65,73
mulher,grupo_A,ensino_superior_incompleto,padrao,N,68,70,75
mulher,grupo_D,ensino_superior_completo,padrao,S,55,73,69
mulher,grupo_E,ensino_fundamental,gratuita,N,49,57,50
mulher,grupo_D,ensino_fundamental,padrao,S,55,66,75
homem,grupo_B,ensino_superior_continuado,padrao,N,66,60,60
mulher,grupo_C,ensino_superior_completo,padrao,N,56,60,59
homem,grupo_B,ensino_fundamental,padrao,N,59,51,43
homem,grupo_D,ensino_superior_completo,padrao,N,64,68,66
homem,grupo_C,ensino_medio,gratuita,N,64,59,61
mulher,grupo_B,ensino_superior_incompleto,gratuita,N,49,64,56
homem,grupo_D,ensino_superior_incompleto,padrao,S,98,92,93
homem,grupo_C,ensino_medio,padrao,S,83,77,75
mulher,grupo_D,ensino_superior_continuado,padrao,S,73,85,95
mulher,grupo_A,ensino_fundamental,padrao,N,60,73,66
homem,grupo_D,ensino_fundamental,padrao,S,68,57,51
mulher,grupo_C,ensino_medio,padrao,S,79,80,85
mulher,grupo_D,ensino_superior_continuado,padrao,N,86,94,98
mulher,grupo_B,ensino_superior_incompleto,gratuita,N,53,71,67
homem,grupo_B,ensino_superior_incompleto,padrao,S,77,76,76
homem,grupo_E,ensino_superior_completo,padrao,N,83,69,66
mulher,grupo_D,ensino_fundamental,gratuita,N,46,54,54
mulher,grupo_E,ensino_superior_completo,gratuita,N,64,76,65
homem,grupo_C,ensino_fundamental,padrao,S,63,53,56
mulher,grupo_B,ensino_superior_incompleto,padrao,N,58,57,57
mulher,grupo_C,ensino_superior_incompleto,padrao,N,80,81,86
homem,grupo_B,ensino_superior_incompleto,padrao,S,65,70,69
homem,grupo_D,ensino_superior_mestrado,padrao,N,86,81,83
mulher,grupo_D,ensino_fundamental,gratuita,N,57,61,58
homem,grupo_D,ensino_medio,gratuita,N,41,38,37
mulher,grupo_E,ensino_medio,gratuita,N,80,82,83
homem,grupo_E,ensino_superior_incompleto,padrao,N,84,86,84
mulher,grupo_C,ensino_medio,padrao,S,45,59,57
homem,grupo_D,ensino_superior_completo,padrao,N,85,89,92
mulher,grupo_B,ensino_superior_incompleto,padrao,S,58,66,71
mulher,grupo_C,ensino_medio,padrao,S,90,97,96
mulher,grupo_D,ensino_superior_incompleto,gratuita,N,67,86,87
homem,grupo_B,ensino_superior_completo,padrao,N,63,68,60
homem,grupo_B,ensino_superior_completo,padrao,N,71,67,65
homem,grupo_D,ensino_superior_continuado,padrao,N,64,49,60
homem,grupo_B,ensino_superior_completo,gratuita,N,56,63,58
homem,grupo_C,ensino_fundamental,padrao,N,61,58,54
homem,grupo_B,ensino_fundamental,gratuita,N,59,52,53
homem,grupo_C,ensino_medio,padrao,N,92,88,80
mulher,grupo_B,ensino_superior_incompleto,gratuita,N,42,62,56
mulher,grupo_C,ensino_medio,padrao,S,90,97,95
mulher,grupo_E,ensino_medio,gratuita,S,60,55,56
homem,grupo_D,ensino_superior_incompleto,padrao,N,73,78,74
homem,grupo_B,ensino_medio,gratuita,N,53,49,47
mulher,grupo_C,ensino_superior_completo,padrao,S,68,85,79
homem,grupo_D,ensino_superior_continuado,padrao,N,76,75,76
mulher,grupo_B,ensino_superior_continuado,padrao,S,69,70,80
homem,grupo_D,ensino_medio,padrao,N,68,73,65
mulher,grupo_D,ensino_superior_incompleto,padrao,N,95,97,98
mulher,grupo_D,ensino_superior_continuado,padrao,S,53,60,62
mulher,grupo_C,ensino_superior_incompleto,padrao,S,63,84,84
homem,grupo_D,ensino_medio,gratuita,S,60,62,63
mulher,grupo_C,ensino_superior_completo,padrao,N,74,79,81
mulher,grupo_C,ensino_medio,padrao,N,48,63,62
mulher,grupo_C,ensino_superior_incompleto,gratuita,N,67,78,72
homem,grupo_E,ensino_superior_continuado,gratuita,N,86,84,76
mulher,grupo_D,ensino_medio,padrao,N,84,85,86
homem,grupo_B,ensino_medio,padrao,S,62,73,64
homem,grupo_D,ensino_superior_continuado,padrao,S,95,92,98
homem,grupo_B,ensino_superior_continuado,padrao,S,63,50,54
mulher,grupo_C,ensino_superior_incompleto,gratuita,N,42,53,55
mulher,grupo_C,ensino_fundamental,padrao,N,50,58,50
homem,grupo_D,ensino_medio,gratuita,S,70,64,66
homem,grupo_A,ensino_fundamental,padrao,N,68,67,55
mulher,grupo_E,ensino_superior_completo,gratuita,S,89,100,96
homem,grupo_B,ensino_medio,padrao,N,72,66,62
homem,grupo_A,ensino_superior_completo,padrao,N,90,82,79
mulher,grupo_D,ensino_superior_incompleto,padrao,N,67,72,68
homem,grupo_B,ensino_fundamental,padrao,N,70,64,60
mulher,grupo_E,ensino_superior_continuado,padrao,S,100,100,100
homem,grupo_E,ensino_superior_incompleto,gratuita,N,60,64,58
homem,grupo_D,ensino_fundamental,gratuita,S,62,62,71
homem,grupo_C,ensino_superior_continuado,padrao,N,65,51,46
homem,grupo_E,ensino_fundamental,gratuita,N,52,51,43
homem,grupo_E,ensino_superior_continuado,gratuita,S,61,67,64
mulher,grupo_A,ensino_medio,padrao,N,72,63,67
mulher,grupo_D,ensino_superior_incompleto,gratuita,N,59,78,84
homem,grupo_E,ensino_superior_incompleto,gratuita,N,60,57,53
homem,grupo_E,ensino_medio,gratuita,N,65,57,53
homem,grupo_E,ensino_medio,padrao,N,93,77,78
mulher,grupo_E,ensino_superior_incompleto,padrao,N,82,83,86
mulher,grupo_B,ensino_superior_completo,gratuita,N,46,57,48
homem,grupo_C,ensino_medio,padrao,N,62,61,55
homem,grupo_C,ensino_medio,padrao,N,46,48,43
homem,grupo_A,ensino_superior_completo,gratuita,S,75,65,63
homem,grupo_B,ensino_fundamental,padrao,S,74,67,69
mulher,grupo_C,ensino_superior_incompleto,padrao,N,69,76,79
homem,grupo_B,ensino_superior_continuado,gratuita,N,81,78,76
mulher,grupo_C,ensino_fundamental,gratuita,N,65,75,75
mulher,grupo_C,ensino_medio,gratuita,N,56,59,58
mulher,grupo_E,ensino_superior_incompleto,gratuita,N,70,74,75
mulher,grupo_D,ensino_medio,padrao,N,67,87,83
homem,grupo_E,ensino_superior_incompleto,padrao,N,100,86,78
homem,grupo_B,ensino_superior_mestrado,padrao,S,79,86,84
mulher,grupo_D,ensino_superior_completo,gratuita,N,61,69,68
mulher,grupo_D,ensino_superior_incompleto,gratuita,N,45,59,58
homem,grupo_D,ensino_medio,padrao,S,80,81,77
mulher,grupo_C,ensino_fundamental,gratuita,N,58,77,77
homem,grupo_C,ensino_superior_completo,gratuita,S,44,56,50
mulher,grupo_C,ensino_superior_incompleto,gratuita,S,56,68,71
homem,grupo_D,ensino_medio,padrao,N,53,45,48
homem,grupo_C,ensino_superior_completo,padrao,N,56,55,53
mulher,grupo_D,ensino_superior_incompleto,padrao,S,53,76,70
mulher,grupo_B,ensino_medio,padrao,N,81,92,92
mulher,grupo_D,ensino_superior_completo,gratuita,S,49,62,64
mulher,grupo_D,ensino_superior_incompleto,padrao,S,58,71,78
mulher,grupo_D,ensino_superior_incompleto,padrao,S,82,84,92
homem,grupo_B,ensino_medio,gratuita,N,51,37,38
homem,grupo_C,ensino_superior_continuado,gratuita,S,60,61,59
mulher,grupo_B,ensino_superior_incompleto,padrao,N,78,89,84
mulher,grupo_B,ensino_superior_incompleto,gratuita,N,32,49,47
